Model,Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Technology,R5ASIA,ZF2090,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.719548494355,197.010866530095,695.864576491431,373.118303081388,636.899805915212,822.713953330569,1084.61092207295,899.808962061335,1032.95137324195,1251.01293634048,1569.5402670629,1267.95660683132,1303.33968092947,1535.00639034991,1706.2699773169,1305.74086127927
AIM-Technology,R5ASIA,ZF2090,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8363502076038,147.481561198785,54.1537975864014,180.046349096558,108.857806824464,195.525993484203,107.839369773873,191.209288918518,169.841566703441,215.553652532545,222.616333366248,236.60962524886,245.779217690168,254.239476776002,225.639973570151
AIM-Technology,R5ASIA,ZF2090,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.763345262389,286.14529272828,156.199685847742,99.7391229392962,196.539762823774,261.447706358398,205.458306466024,177.102149845846,258.240511228169,285.356783197891,230.565719693963,176.140778199311,259.167616265315,281.04518393428,229.648071154241,174.424394603821
AIM-Technology,R5ASIA,ZF2090,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.7378505655845,137.8878764719,76.4919421551168,177.402609977726,412.64133063864,283.849631757752,425.883208775405,546.30338335104,400.995668638881,597.556484913508,614.650436670414,483.007110744243,691.860156499366,612.968417542365,457.755655341857
AIM-Technology,R5ASIA,ZF2100,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.973351952564,196.823841584102,697.24109437778,310.863360827546,689.161929878251,792.579040993798,1102.98717508956,725.776237704762,1026.90328555091,1187.2019191976501,1605.55341219337,1099.48707888804,1301.63816936473,1515.57937812071,1808.97385000838,1205.24912485921
AIM-Technology,R5ASIA,ZF2100,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8420282650123,150.885711177391,53.5068246432546,181.01270720639,106.454415403117,205.683986621164,106.728849098212,207.20232595873,149.613758494203,228.564166977005,195.475674211601,227.189540257282,218.631871697994,241.231720168133,236.074242959032
AIM-Technology,R5ASIA,ZF2100,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.642629596565,286.266297702414,151.142811340079,109.601157208805,199.162312584592,267.227657375086,167.093046478289,158.859797153299,219.503706008995,331.896520975333,239.24818158796,158.38886556057,219.972552780545,337.324194638915,236.197718874404,155.995062676431
AIM-Technology,R5ASIA,ZF2100,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.6894465687184,131.534578545325,83.3498897768285,214.259611808965,420.581483164907,235.661439870657,377.35188514831,506.885731897475,358.217788671596,580.52236803741,577.279138042045,462.796003150045,680.905932001069,613.618311870715,441.023089330987
AIM-Technology,R5LAM,Opt1.5C,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.091599384279,26.8288893881288,23.6428641532706,42.2442420730738,42.9867984076502,47.6362413974184,74.634706495486,86.3168051119842,78.7819733045384,88.7371826929198,97.7937543761989,97.632092238103,110.676831730577,94.8230485957294,119.037662494181
AIM-Technology,R5LAM,Opt1.5C,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.35306349668116,0.355567912036965,5.12545890435841,2.7854524794011,4.49963786992349,5.06545857801451,8.87584152398457,5.26843383835864,12.415319989635,7.96388027549827,13.1412416090358,10.722799306438,12.2318340725682,11.4743540747331
AIM-Technology,R5LAM,Opt1.5C,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0804755876199,34.5147917486063,41.5575351991454,21.7970957211471,24.052494385936,39.1698222548548,59.5488038581723,50.2614596268904,46.529793573782,80.4702919284171,138.841837163297,112.488979823468,82.4199910699557,120.529621126804,186.141827901059,153.134026171375
AIM-Technology,R5LAM,Opt1.5C,Capacity Additions|Hydrogen|Electricity,GW,0,0,14.0071068007145,4.31784319926574,0.207272697068703,16.7763608876994,7.40716468958296,15.3135633357083,30.8333418962044,38.5169530163934,46.3377969314741,68.3219598102432,69.3251074848629,54.4197682604563,93.094537260888,87.9762809163928,75.4228826035229
AIM-Technology,R5LAM,ZF2050,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.091599384279,30.4369452048601,53.6563798421848,97.9835782261071,123.300745015005,63.1605233811053,75.1888861375864,105.121158576427,90.8586809505119,207.241050678725,139.547691301137,188.856094226894,93.6858001370142,213.778276397499,114.37649322689
AIM-Technology,R5LAM,ZF2050,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.488273655602,1.55815508422173,6.96376840870091,5.10641078639167,8.75141836449984,6.81346456158579,11.1997845783781,0.673399278073774,5.72678035302567,7.16822935973672,2.86140699202863,7.15931147431071,10.7275705203692,13.5722812265285
AIM-Technology,R5LAM,ZF2050,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0804755876199,34.5147917486061,55.6757199698439,49.7228625723385,96.9882520467352,120.316743367527,142.56713558261,76.5239425086079,112.566178262153,141.384034507001,353.295491594096,139.804791412723,137.457043927251,168.010129309671,414.36570109294,185.614255054973
AIM-Technology,R5LAM,ZF2050,Capacity Additions|Hydrogen|Electricity,GW,0,0,14.0071068007141,27.8823984498078,30.7609542234318,162.901021218343,63.4429770575412,98.8509290097333,93.6212489809307,105.296033356195,102.128779116478,260.34882470857,114.891039738047,133.60060428298,262.104337898618,119.741806530201,117.024814805059
AIM-Technology,R5LAM,ZF2060,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.091599384279,31.318562806692,42.9668586816234,73.0574409334629,82.3019427872708,112.125546729343,72.7692303399358,78.7771480974671,38.3981196554485,345.95374218843,136.411320755856,117.791543379098,40.8294164489144,344.323451450705,92.5927595933131
AIM-Technology,R5LAM,ZF2060,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.538887490723,0.560326575601178,7.50479504852781,4.20900818919885,7.97000073880327,5.40755735667476,9.13991843097718,0.76548862552732,4.57817805098859,4.10147531774966,3.40848714894642,10.5454295571372,10.107694934218,12.1840934305424
AIM-Technology,R5LAM,ZF2060,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0804755876199,34.5147917486061,49.7208701570367,31.8815332763988,51.2164835320273,86.963180305382,175.307246802053,113.974092624457,87.6460180905625,144.458118770957,339.883013418729,124.57862548257,113.024239718521,172.503764005372,444.367527868973,224.037095798612
AIM-Technology,R5LAM,ZF2060,Capacity Additions|Hydrogen|Electricity,GW,0,0,14.0071068007141,5.52209381337559,5.8320437899165,60.0237836283018,77.8233499033414,124.34037518489,81.35590082818,83.7513858907108,157.66840728182,248.409663177279,84.1135772658884,173.633271950683,230.66417866279,113.088922254896,174.934311474499
AIM-Technology,R5LAM,ZF2070,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.0988872169612,30.8995736162716,38.3529625064925,71.9599516771562,78.4012557325493,85.287811827254,106.371801422182,81.6887601215378,63.5813797233212,205.854039451439,151.485466191538,139.298487109159,68.6466565691136,211.984527849943,121.509084700943
AIM-Technology,R5LAM,ZF2070,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.43674591468794,0.602744588709171,8.21617408678319,3.42658352762965,9.89656528265047,5.10269271019223,10.638862407375001,2.41755624780295,12.438370954363,5.16943287346472,9.08168083169009,12.9252671442944,8.94171228186971,13.68931953494
AIM-Technology,R5LAM,ZF2070,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0803021032835,34.4830896614341,47.0251996781467,30.126335598508,39.0105931368537,76.1182534078311,112.50956608507,129.624346219622,104.275705165536,166.986392020601,279.600148581416,151.145036512784,128.750575563236,206.033025705234,367.982908607412,251.777010043361
AIM-Technology,R5LAM,ZF2070,Capacity Additions|Hydrogen|Electricity,GW,0,0,13.9838065444783,3.56330903381823,7.92930644247,16.4198680494989,84.040641897033,74.1775581446932,102.730982012311,101.747817217275,131.780879407125,211.78732768324,92.1986961484717,159.821784169472,203.871000736021,120.054278498483,164.682821735741
AIM-Technology,R5LAM,ZF2080,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.1059225780075,29.9788620369826,37.2574133019634,66.3407830954777,70.0938440560409,61.0211288595249,100.239543968759,73.6789354761623,82.2915777724329,284.346452943999,146.757516180843,83.3080361197346,43.1606016431214,265.274327407953,147.550058062952
AIM-Technology,R5LAM,ZF2080,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.19596426666574,0.802667137895981,6.67559598120019,3.15962082819623,9.14489941717575,4.90477021746131,7.68350483606712,5.46038423644114,6.84375208377979,11.0730286824454,11.4438688501379,9.92846714267873,9.69305955233811,11.0387664597544
AIM-Technology,R5LAM,ZF2080,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0801457767484,34.496211615356,46.8665965060399,27.7869653963942,38.563537928779,61.8511806948055,104.867194994606,87.5096313328917,133.269348736303,100.595484798187,353.598532066561,123.121991141936,141.92414859822,151.357127192126,490.956112186348,196.589014108666
AIM-Technology,R5LAM,ZF2080,Capacity Additions|Hydrogen|Electricity,GW,0,0,14.0361066540994,3.76349947540329,6.04724148396053,8.4209027830541,41.0862818139549,55.3025918178008,78.5688900033059,106.114814051732,72.3337694063037,303.96727979901,104.471577175056,58.1093697553187,293.031510210564,145.38721579037,70.5355041893966
AIM-Technology,R5LAM,ZF2090,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.091599384279,29.8842645577729,36.6783061592863,62.3039249924927,60.7614221751639,62.8544403631357,89.3890037101515,71.1053258360956,77.7495577547519,250.206644314367,120.416518772185,121.583220318195,107.582919796874,292.956409044736,79.9237165147272
AIM-Technology,R5LAM,ZF2090,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,3.12871982587225,0.852787724235741,4.82311538614141,3.962759402756,7.36205553584427,6.48397780313617,2.62296589237031,5.88852526415908,1.44215314935652,11.4937706376208,1.23675208782178,17.3708283652462,7.61676900541969,15.5243277846959
AIM-Technology,R5LAM,ZF2090,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0804755876199,34.5147917486061,46.856967892551,27.4164168810032,36.3766201261543,54.2824361949402,86.5689881415668,79.1037973174596,124.768425187376,91.6526722248318,211.932833097797,262.879440289272,150.491244212898,179.400157681299,264.020949740711,353.867169314048
AIM-Technology,R5LAM,ZF2090,Capacity Additions|Hydrogen|Electricity,GW,0,0,14.0071068007141,2.25455424136963,5.85077457445856,8.65235065196287,34.8356840381873,38.0881621317618,71.995812635646,96.120928319023193,59.0444480292009,225.282782866082,178.366857662242,68.4306069114229,248.51610117025,209.702504353835,64.4403702529006
AIM-Technology,R5LAM,ZF2100,Capacity Additions|Electricity|Solar|PV,GW/yr,3.7212,14.65854,11.1054419219388,28.4367246679932,38.7367556112776,63.1953195760188,62.7423081052986,62.5112846888453,86.671227674876,65.2657107518155,87.1061032824446,191.480452421281,118.781798414631,70.1985140109301,139.169653493644,209.573173107667,125.034984256314
AIM-Technology,R5LAM,ZF2100,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,2.78604994659146,1.49030205226441,4.26191274329767,4.99848881479056,7.29745422939419,5.11656425641568,1.29319985154189,6.55668106716261,1.4211052420054,11.6722582997113,3.44292543938041,12.3149894132704,5.50518402068998,14.2333615109068
AIM-Technology,R5LAM,ZF2100,Capacity Additions|Electricity|Wind,GW/yr,3.73727,14.0802954188594,34.481157189998,45.7497820964462,26.7859503793699,36.6828823338578,52.7935578874527,78.1635543623425,112.224171522014,139.54882952734,75.5628286325634,127.564385588355,293.018681490395,208.285852109233,102.543380017451,263.080385567944,388.066880466292
AIM-Technology,R5LAM,ZF2100,Capacity Additions|Hydrogen|Electricity,GW,0,0,13.9851344668016,2.53601480302078,7.48791266744671,19.8478666616988,25.7847876613564,34.0889818437152,88.3761276481621,117.219668456151,39.597764328935,164.459620629767,201.702346719328,58.0116347893209,164.10298743350901,252.694343286798,88.2505894218688
AIM-Technology,R5MAF,Opt1.5C,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.4507126507453,80.3138729075478,104.609139123743,127.108902114186,200.625273601429,227.060087822252,234.540151075055,355.896946853871,423.488537149576,385.474940502046,305.106507841671,541.421923143945,480.948594044401,426.850314762921,391.475007225893
AIM-Technology,R5MAF,Opt1.5C,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173064677524056,23.9776676987036,13.5730515077197,38.8694736692397,31.0703779106553,64.6578251185469,45.8145367012566,112.283118084145,68.5246984911969,125.229119996207,66.045189442358,158.36073802119,50.0722392654567,145.600016090899,48.8670381326395
AIM-Technology,R5MAF,Opt1.5C,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752634,26.3318064831326,138.539733397814,38.7649608330506,24.3556689176414,18.0477914136193,130.110424039609,80.1711000668554,92.9677179856677,90.6776201814922,227.326529296413,216.01953659483,172.888638481947,238.752699906485,386.635813532699,354.241021588833
AIM-Technology,R5MAF,Opt1.5C,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,5.99032667506899,3.57948253949387,7.43577513516036,25.4124699850413,37.4463980266125,34.0388146158843,59.9496114546634,103.939927136665,81.0119105713011,80.0633481299113,133.417434659668,113.51180349972,107.829455985743,158.735281069524
AIM-Technology,R5MAF,ZF2050,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.4507126507452,139.109567136917,174.56676973956,240.982295931019,378.265844555423,422.27470762658203,349.168729727628,397.124433291604,516.417085853756,444.599620561999,457.804927983551,495.158801663997,550.652008592073,563.447411065067,463.621350497468
AIM-Technology,R5MAF,ZF2050,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173064677524009,34.8572019434091,34.5372680568687,51.3641491057103,45.3142753993986,108.605013532781,78.0077470918447,134.101078395914,91.2666985759798,133.046417291509,97.2096991864724,134.595485279927,85.5732929256725,147.527514026611,64.7655567907932
AIM-Technology,R5MAF,ZF2050,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752634,26.3318064831327,174.079772564068,72.1245828106863,45.4248748454666,43.5306838226364,98.2105251765505,105.670990851699,86.4440709584162,113.567571732143,211.583979918705,195.057666231992,204.292388342716,271.211855550223,348.63018239674,358.459456951349
AIM-Technology,R5MAF,ZF2050,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,28.3437190506999,17.2285490307332,107.599856118816,152.03339411793,67.7108306965967,101.518022575007,187.966864810204,99.1212982666125,88.3572281961045,221.115789021952,135.900524272143,112.9733774024,254.264035934292,138.829731067287
AIM-Technology,R5MAF,ZF2060,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.4507126507452,123.833275889369,145.569370161244,202.794889859433,266.271666572752,539.877539871206,418.430837646389,348.730518535369,377.240318171539,612.910506740174,524.552554775514,433.059945316405,387.188353385695,722.364619320559,528.246167883124
AIM-Technology,R5MAF,ZF2060,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173064677524009,32.4430188936767,25.6550200783887,65.0135168937306,48.0701621179189,117.670724249497,70.6668229031106,142.030022743587,83.9189142984202,147.789301650846,90.7333871667963,140.023555220862,80.1341123144776,152.372180783947,57.5799246640611
AIM-Technology,R5MAF,ZF2060,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752634,26.3318064831327,159.063018692628,60.5803531703729,34.6093125440624,21.2186447895519,119.176065846786,105.538684101013,86.7173479853619,87.4279656179208,210.133431827632,201.814123368306,215.026038131475,256.640099742509,347.144871609768,370.389472264295
AIM-Technology,R5MAF,ZF2060,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,22.5377369506045,14.814967203535,27.9926796085034,88.678589736851393,154.339512249001,126.464964980675,92.4248022856586,169.724116171273,129.851878882712,123.713563516425,208.672648179979,138.977481683965,156.197857184463,214.450695249798
AIM-Technology,R5MAF,ZF2070,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.3550760975293,116.612069449187,132.867639819419,162.08447280677,247.876763496955,451.896387712375,340.056082604606,450.130511922959,432.310591528265,535.69136311004,428.875463831548,548.637296989747,456.597039251402,640.644319552809,441.192516021729
AIM-Technology,R5MAF,ZF2070,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173063535786098,31.5604284667725,19.91336695874,49.7172835349765,45.1586020788909,109.075176450151,67.1132654242101,135.566063324119,88.1098336665295,143.517409194894,95.0017481607537,139.236536150239,81.3245285633565,149.079763747197,62.8286735433111
AIM-Technology,R5MAF,ZF2070,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752631,26.626573567965,159.541606884807,45.8713297892718,44.3575508313359,20.8672086620253,115.997958165589,91.8017290008322,92.1803810648293,103.361843333679,208.531101159695,189.239420696564,217.995643131557,268.866486010329,347.763291004764,347.927960537234
AIM-Technology,R5MAF,ZF2070,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,27.9316589093207,9.93017898577914,24.4438920541563,65.7883547834652,95.6068446005433,88.3327856555631,153.7281738421,146.447007382431,93.8954611846503,174.101350100315,186.519670043893,118.775675829881,206.308265554373,190.041346744166
AIM-Technology,R5MAF,ZF2080,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.3550760855629,113.189137838452,122.512044576034,139.54536983455,230.672793693049,425.412804078335,326.255137612521,430.361466421209,416.884171407938,531.883080821608,472.758658526849,515.989476589436,447.235693632464,632.808750455248,491.786515025023
AIM-Technology,R5MAF,ZF2080,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173051531475117,30.5702856494198,17.009461389114,42.8253429865284,39.5232824817203,112.691962863023,56.5281707240626,144.440786780076,79.0554796157482,148.225338409531,89.3704787328699,142.210842155636,75.8289942863931,152.41514753969,58.9007822134042
AIM-Technology,R5MAF,ZF2080,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752635,26.6265735679649,158.246298754331,47.6716993505305,42.4786199967391,20.5056709714423,120.768598497443,85.613795090046,90.6872250855211,96.2074597376969,230.976300825929,181.651851678123,221.635099218055,256.266913574765,368.470864386589,339.539848223449
AIM-Technology,R5MAF,ZF2080,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,31.3088076528162,7.46820061852307,26.0735026095548,65.3327966512773,66.2840842684902,82.1362687548462,146.135522407385,112.655837736185,113.686661469591,192.589913679757,149.497288116397,138.980957046883,222.482918714892,155.573718191619
AIM-Technology,R5MAF,ZF2090,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.4507126507452,102.654639968196,118.520299806089,140.236300960666,224.759066744245,428.181380312323,298.369103288609,394.730683170717,418.149264824444,537.277828333905,447.498870686775,514.908426513891,456.732179230771,641.068013867275,464.395074580022
AIM-Technology,R5MAF,ZF2090,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173064677524009,28.6243387279987,15.0057998870374,43.5047555439669,33.8139441146408,122.688890870921,46.4186623293593,147.142878831785,72.2741655950156,150.300932287696,85.8053236899417,153.25899978845,66.0298227636272,163.764151302539,48.7580158167738
AIM-Technology,R5MAF,ZF2090,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752634,26.3318064831327,158.053945560636,45.2239028143115,34.5023854842708,20.2805783286737,107.601884715683,96.9785919339894,88.5711424148993,100.815259370172,214.264420876703,200.61419175615,214.217502779368,273.235159990406,335.308405259917,361.724246305475
AIM-Technology,R5MAF,ZF2090,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,33.5809408019511,7.59794949609749,19.2437051714234,76.583357526515,55.4427043530485,74.4042067075722,140.418187297546,101.086672377687,104.540350366488,178.483660447879,141.556939259952,147.954507045673,206.41326359084,148.416282475544
AIM-Technology,R5MAF,ZF2100,Capacity Additions|Electricity|Solar|PV,GW/yr,2.06514,7.1871,85.355035114623007,92.6548027651743,129.019572307969,132.141092822733,216.825703009629,375.181232051789,264.593511316032,383.823735026059,435.089774218124,505.88168675232,393.230707650286,524.993475908899,510.42817088057,597.327467915214,443.036249965396
AIM-Technology,R5MAF,ZF2100,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0.173063535786147,26.437024378148,17.3602931159595,40.9406956531525,33.8751473620165,111.531147000154,45.6265151540738,133.313942802118,72.295571067567,139.477185112399,79.7662134578287,154.259722737064,74.4558032325745,149.513751523281,59.4211276560913
AIM-Technology,R5MAF,ZF2100,Capacity Additions|Electricity|Wind,GW/yr,0.9106,7.74961554752634,26.6266119997717,159.070976895333,44.2467979868498,31.7273043355298,22.0235937594104,121.465031769709,96.7214903562846,86.2391633750262,92.3026192859201,227.923364390931,211.12152162547,200.988812781207,245.337495244609,370.133573960498,378.77565251898
AIM-Technology,R5MAF,ZF2100,Capacity Additions|Hydrogen|Electricity,GW,0,0,0,31.0166342978444,8.06435396531076,19.0003362489193,72.1025220971865,45.045341560545,49.209237111934,140.773171112671,99.6540917773943,88.1189338507262,176.266598613124,138.706350569887,126.248659011051,214.658534655872,168.985587439059
